År;Sektor;Tittel;Navn;Mengde
2009;Veitrafikk;Utslipp fra kommunens innbyggere: kjøring innenfor og utenfor kommunens grense (tonn CO2-ekv);Busser;4352
2009;Veitrafikk;Utslipp fra kommunens innbyggere: kjøring innenfor og utenfor kommunens grense (tonn CO2-ekv);Personbil;43843
2009;Veitrafikk;Utslipp fra kommunens innbyggere: kjøring innenfor og utenfor kommunens grense (tonn CO2-ekv);Tunge kjøretøy;20319
2009;Veitrafikk;Utslipp fra kommunens innbyggere: kjøring innenfor og utenfor kommunens grense (tonn CO2-ekv);Varebil;8878
2009;Veitrafikk;Utslipp fra kommunens innbyggere: kjøring innenfor og utenfor kommunens grense (tonn CO2-ekv);Totalt;77393
2011;Veitrafikk;Utslipp fra kommunens innbyggere: kjøring innenfor og utenfor kommunens grense (tonn CO2-ekv);Busser;5180
2011;Veitrafikk;Utslipp fra kommunens innbyggere: kjøring innenfor og utenfor kommunens grense (tonn CO2-ekv);Personbil;43652
2011;Veitrafikk;Utslipp fra kommunens innbyggere: kjøring innenfor og utenfor kommunens grense (tonn CO2-ekv);Tunge kjøretøy;20873
2011;Veitrafikk;Utslipp fra kommunens innbyggere: kjøring innenfor og utenfor kommunens grense (tonn CO2-ekv);Varebil;8638
2011;Veitrafikk;Utslipp fra kommunens innbyggere: kjøring innenfor og utenfor kommunens grense (tonn CO2-ekv);Totalt;78343
2013;Veitrafikk;Utslipp fra kommunens innbyggere: kjøring innenfor og utenfor kommunens grense (tonn CO2-ekv);Busser;5320
2013;Veitrafikk;Utslipp fra kommunens innbyggere: kjøring innenfor og utenfor kommunens grense (tonn CO2-ekv);Personbil;43403
2013;Veitrafikk;Utslipp fra kommunens innbyggere: kjøring innenfor og utenfor kommunens grense (tonn CO2-ekv);Tunge kjøretøy;21145
2013;Veitrafikk;Utslipp fra kommunens innbyggere: kjøring innenfor og utenfor kommunens grense (tonn CO2-ekv);Varebil;8293
2013;Veitrafikk;Utslipp fra kommunens innbyggere: kjøring innenfor og utenfor kommunens grense (tonn CO2-ekv);Totalt;78161
2015;Veitrafikk;Utslipp fra kommunens innbyggere: kjøring innenfor og utenfor kommunens grense (tonn CO2-ekv);Busser;5572
2015;Veitrafikk;Utslipp fra kommunens innbyggere: kjøring innenfor og utenfor kommunens grense (tonn CO2-ekv);Personbil;43677
2015;Veitrafikk;Utslipp fra kommunens innbyggere: kjøring innenfor og utenfor kommunens grense (tonn CO2-ekv);Tunge kjøretøy;22098
2015;Veitrafikk;Utslipp fra kommunens innbyggere: kjøring innenfor og utenfor kommunens grense (tonn CO2-ekv);Varebil;8762
2015;Veitrafikk;Utslipp fra kommunens innbyggere: kjøring innenfor og utenfor kommunens grense (tonn CO2-ekv);Totalt;80110
2016;Veitrafikk;Utslipp fra kommunens innbyggere: kjøring innenfor og utenfor kommunens grense (tonn CO2-ekv);Busser;5225
2016;Veitrafikk;Utslipp fra kommunens innbyggere: kjøring innenfor og utenfor kommunens grense (tonn CO2-ekv);Personbil;41312
2016;Veitrafikk;Utslipp fra kommunens innbyggere: kjøring innenfor og utenfor kommunens grense (tonn CO2-ekv);Tunge kjøretøy;21047
2016;Veitrafikk;Utslipp fra kommunens innbyggere: kjøring innenfor og utenfor kommunens grense (tonn CO2-ekv);Varebil;8027
2016;Veitrafikk;Utslipp fra kommunens innbyggere: kjøring innenfor og utenfor kommunens grense (tonn CO2-ekv);Totalt;75612
2017;Veitrafikk;Utslipp fra kommunens innbyggere: kjøring innenfor og utenfor kommunens grense (tonn CO2-ekv);Busser;4774
2017;Veitrafikk;Utslipp fra kommunens innbyggere: kjøring innenfor og utenfor kommunens grense (tonn CO2-ekv);Personbil;38086
2017;Veitrafikk;Utslipp fra kommunens innbyggere: kjøring innenfor og utenfor kommunens grense (tonn CO2-ekv);Tunge kjøretøy;19417
2017;Veitrafikk;Utslipp fra kommunens innbyggere: kjøring innenfor og utenfor kommunens grense (tonn CO2-ekv);Varebil;7516
2017;Veitrafikk;Utslipp fra kommunens innbyggere: kjøring innenfor og utenfor kommunens grense (tonn CO2-ekv);Totalt;69793
2018;Veitrafikk;Utslipp fra kommunens innbyggere: kjøring innenfor og utenfor kommunens grense (tonn CO2-ekv);Busser;5044
2018;Veitrafikk;Utslipp fra kommunens innbyggere: kjøring innenfor og utenfor kommunens grense (tonn CO2-ekv);Personbil;38203
2018;Veitrafikk;Utslipp fra kommunens innbyggere: kjøring innenfor og utenfor kommunens grense (tonn CO2-ekv);Tunge kjøretøy;20504
2018;Veitrafikk;Utslipp fra kommunens innbyggere: kjøring innenfor og utenfor kommunens grense (tonn CO2-ekv);Varebil;8040
2018;Veitrafikk;Utslipp fra kommunens innbyggere: kjøring innenfor og utenfor kommunens grense (tonn CO2-ekv);Totalt;71791
2019;Veitrafikk;Utslipp fra kommunens innbyggere: kjøring innenfor og utenfor kommunens grense (tonn CO2-ekv);Busser;4928
2019;Veitrafikk;Utslipp fra kommunens innbyggere: kjøring innenfor og utenfor kommunens grense (tonn CO2-ekv);Personbil;36601
2019;Veitrafikk;Utslipp fra kommunens innbyggere: kjøring innenfor og utenfor kommunens grense (tonn CO2-ekv);Tunge kjøretøy;20047
2019;Veitrafikk;Utslipp fra kommunens innbyggere: kjøring innenfor og utenfor kommunens grense (tonn CO2-ekv);Varebil;8023
2019;Veitrafikk;Utslipp fra kommunens innbyggere: kjøring innenfor og utenfor kommunens grense (tonn CO2-ekv);Totalt;69599
2020;Veitrafikk;Utslipp fra kommunens innbyggere: kjøring innenfor og utenfor kommunens grense (tonn CO2-ekv);Busser;4802
2020;Veitrafikk;Utslipp fra kommunens innbyggere: kjøring innenfor og utenfor kommunens grense (tonn CO2-ekv);Personbil;34497
2020;Veitrafikk;Utslipp fra kommunens innbyggere: kjøring innenfor og utenfor kommunens grense (tonn CO2-ekv);Tunge kjøretøy;20073
2020;Veitrafikk;Utslipp fra kommunens innbyggere: kjøring innenfor og utenfor kommunens grense (tonn CO2-ekv);Varebil;8560
2020;Veitrafikk;Utslipp fra kommunens innbyggere: kjøring innenfor og utenfor kommunens grense (tonn CO2-ekv);Totalt;67931
2021;Veitrafikk;Utslipp fra kommunens innbyggere: kjøring innenfor og utenfor kommunens grense (tonn CO2-ekv);Busser;4661
2021;Veitrafikk;Utslipp fra kommunens innbyggere: kjøring innenfor og utenfor kommunens grense (tonn CO2-ekv);Personbil;33509
2021;Veitrafikk;Utslipp fra kommunens innbyggere: kjøring innenfor og utenfor kommunens grense (tonn CO2-ekv);Tunge kjøretøy;20402
2021;Veitrafikk;Utslipp fra kommunens innbyggere: kjøring innenfor og utenfor kommunens grense (tonn CO2-ekv);Varebil;8847
2021;Veitrafikk;Utslipp fra kommunens innbyggere: kjøring innenfor og utenfor kommunens grense (tonn CO2-ekv);Totalt;67418
2009;Veitrafikk;Kommunespesifikke utslippsfaktorer (g CO2-ekv/km);Personbil (diesel);149
2009;Veitrafikk;Kommunespesifikke utslippsfaktorer (g CO2-ekv/km);Personbil (bensin);185
2009;Veitrafikk;Kommunespesifikke utslippsfaktorer (g CO2-ekv/km);Varebil (diesel);200
2009;Veitrafikk;Kommunespesifikke utslippsfaktorer (g CO2-ekv/km);Varebil (bensin);195
2009;Veitrafikk;Kommunespesifikke utslippsfaktorer (g CO2-ekv/km);Tunge kjøretøy (diesel);705
2009;Veitrafikk;Kommunespesifikke utslippsfaktorer (g CO2-ekv/km);Busser (diesel);773
2011;Veitrafikk;Kommunespesifikke utslippsfaktorer (g CO2-ekv/km);Personbil (diesel);146
2011;Veitrafikk;Kommunespesifikke utslippsfaktorer (g CO2-ekv/km);Personbil (bensin);182
2011;Veitrafikk;Kommunespesifikke utslippsfaktorer (g CO2-ekv/km);Varebil (diesel);198
2011;Veitrafikk;Kommunespesifikke utslippsfaktorer (g CO2-ekv/km);Varebil (bensin);188
2011;Veitrafikk;Kommunespesifikke utslippsfaktorer (g CO2-ekv/km);Tunge kjøretøy (diesel);708
2011;Veitrafikk;Kommunespesifikke utslippsfaktorer (g CO2-ekv/km);Busser (diesel);890
2013;Veitrafikk;Kommunespesifikke utslippsfaktorer (g CO2-ekv/km);Personbil (diesel);142
2013;Veitrafikk;Kommunespesifikke utslippsfaktorer (g CO2-ekv/km);Personbil (bensin);175
2013;Veitrafikk;Kommunespesifikke utslippsfaktorer (g CO2-ekv/km);Varebil (diesel);196
2013;Veitrafikk;Kommunespesifikke utslippsfaktorer (g CO2-ekv/km);Varebil (bensin);183
2013;Veitrafikk;Kommunespesifikke utslippsfaktorer (g CO2-ekv/km);Tunge kjøretøy (diesel);698
2013;Veitrafikk;Kommunespesifikke utslippsfaktorer (g CO2-ekv/km);Busser (diesel);886
2015;Veitrafikk;Kommunespesifikke utslippsfaktorer (g CO2-ekv/km);Personbil (diesel);141
2015;Veitrafikk;Kommunespesifikke utslippsfaktorer (g CO2-ekv/km);Personbil (bensin);170
2015;Veitrafikk;Kommunespesifikke utslippsfaktorer (g CO2-ekv/km);Varebil (diesel);194
2015;Veitrafikk;Kommunespesifikke utslippsfaktorer (g CO2-ekv/km);Varebil (bensin);186
2015;Veitrafikk;Kommunespesifikke utslippsfaktorer (g CO2-ekv/km);Tunge kjøretøy (diesel);699
2015;Veitrafikk;Kommunespesifikke utslippsfaktorer (g CO2-ekv/km);Busser (diesel);889
2016;Veitrafikk;Kommunespesifikke utslippsfaktorer (g CO2-ekv/km);Personbil (diesel);133
