Trafikkregistreringspunkt;Navn;Vegreferanse;Fra;Til;Dato;Felt;Trafikkmengde;Dekningsgrad (%);Antall timer total;Antall timer inkludert;Antall timer ugyldig;Ikke gyldig lengde;Lengdekvalitetsgrad (%);< 5,6m;>= 5,6m;5,6m - 7,6m;7,6m - 12,5m;12,5m - 16,0m;>= 16,0m;16,0m - 24,0m;>= 24,0m
05899B1109722;Strandvegen Sykkel;KV40500 S1D1 m156;2022-05-04T00:00+02:00;2022-05-05T00:00+02:00;2022-05-04;1;39;100,0;24;24;0;39;0,00;-;-;-;-;-;-;-;-
05899B1109722;Strandvegen Sykkel;KV40500 S1D1 m156;2022-05-04T00:00+02:00;2022-05-05T00:00+02:00;2022-05-04;2;36;100,0;24;24;0;36;0,00;-;-;-;-;-;-;-;-
05899B1109722;Strandvegen Sykkel;KV40500 S1D1 m156;2022-05-04T00:00+02:00;2022-05-05T00:00+02:00;2022-05-04;Totalt i retning Muse`gata;36;100,0;24;24;0;36;0,00;-;-;-;-;-;-;-;-
05899B1109722;Strandvegen Sykkel;KV40500 S1D1 m156;2022-05-04T00:00+02:00;2022-05-05T00:00+02:00;2022-05-04;Totalt i retning Nyløkken/Telegrafbukta;39;100,0;24;24;0;39;0,00;-;-;-;-;-;-;-;-
05899B1109722;Strandvegen Sykkel;KV40500 S1D1 m156;2022-05-04T00:00+02:00;2022-05-05T00:00+02:00;2022-05-04;Totalt;75;100,0;24;24;0;75;0,00;-;-;-;-;-;-;-;-
05899B1109722;Strandvegen Sykkel;KV40500 S1D1 m156;2022-05-05T00:00+02:00;2022-05-06T00:00+02:00;2022-05-05;1;51;100,0;24;24;0;51;0,00;-;-;-;-;-;-;-;-
05899B1109722;Strandvegen Sykkel;KV40500 S1D1 m156;2022-05-05T00:00+02:00;2022-05-06T00:00+02:00;2022-05-05;2;75;100,0;24;24;0;75;0,00;-;-;-;-;-;-;-;-
05899B1109722;Strandvegen Sykkel;KV40500 S1D1 m156;2022-05-05T00:00+02:00;2022-05-06T00:00+02:00;2022-05-05;Totalt i retning Muse`gata;75;100,0;24;24;0;75;0,00;-;-;-;-;-;-;-;-
05899B1109722;Strandvegen Sykkel;KV40500 S1D1 m156;2022-05-05T00:00+02:00;2022-05-06T00:00+02:00;2022-05-05;Totalt i retning Nyløkken/Telegrafbukta;51;100,0;24;24;0;51;0,00;-;-;-;-;-;-;-;-
05899B1109722;Strandvegen Sykkel;KV40500 S1D1 m156;2022-05-05T00:00+02:00;2022-05-06T00:00+02:00;2022-05-05;Totalt;126;100,0;24;24;0;126;0,00;-;-;-;-;-;-;-;-
05899B1109722;Strandvegen Sykkel;KV40500 S1D1 m156;2022-05-06T00:00+02:00;2022-05-07T00:00+02:00;2022-05-06;1;47;100,0;24;24;0;47;0,00;-;-;-;-;-;-;-;-
05899B1109722;Strandvegen Sykkel;KV40500 S1D1 m156;2022-05-06T00:00+02:00;2022-05-07T00:00+02:00;2022-05-06;2;59;100,0;24;24;0;59;0,00;-;-;-;-;-;-;-;-
